event_id,center_date,is_flood_event,window_n_days,flow_raw_max,flow_raw_mean,flow_pct_max,flow_pct_mean,duration_above_90,max_exceedance_90,area_above_90,days_to_peak_flow,rain_3day_max,rain_3day_mean,rain_5day_max,rain_5day_mean,rain_7day_max,rain_7day_mean,rain_14day_max,rain_14day_mean,rain_1day_max,rain_1day_sum,rain_before_peak,api_k_0_90_max,api_k_0_90_mean,api_k_0_95_max,api_k_0_95_mean,storm_wind_max,storm_wind_mean,event_duration_proxy,flood_label_in_window
F001,1975-09-09,1,5,677.963,438.442,0.998335749181296,0.9792881301336769,5,0.09833574918129595,0.3964406506683845,2,151.18771991278444,104.4466315392215,225.09354004434917,136.08171608204816,237.27183162517932,160.5085428723403,314.3256807387228,223.3411361098234,58.48747768608632,225.09354004434917,166.60606235826285,241.71805484271425,171.1426479610215,327.89834442517054,247.9625825131805,,,5,1
F002,1976-07-20,1,5,131.804,115.3104,0.9092714876254899,0.8889568905352444,1,0.009271487625489905,0.009271487625489905,1,33.4922844505635,25.7616350159632,45.93722028926231,38.60210853854213,58.748096370362205,54.43462027347184,184.02979319948017,160.32666737112487,15.022017320361224,41.903317336769746,24.124804547587836,110.53495691816676,106.90743161954879,211.99931419193024,208.11872202646433,,,1,1
F003,1977-11-20,1,5,126.494,57.582179999999994,0.9035808235357277,0.6680839641380791,1,0.0035808235357276397,0.0035808235357276397,2,30.31415392923464,12.154951147252152,37.50411789472717,17.024944360071146,40.679784697067866,22.905270123227513,111.22489069245005,88.03171831840822,26.818504612700306,37.50411789472717,10.685613282026871,73.16489883537373,60.41114178309671,151.2429221704625,141.0613675781165,,,1,1
N001,1978-04-09,0,5,19.0781,16.18398,0.3332259623127718,0.2738605250442906,0,0.0,0.0,2,11.704464222031495,6.406807477948665,16.392276187432195,9.1672469964652,18.915996812988883,10.49638249154446,71.05987068350642,37.81988956315958,9.687410137061049,16.392276187432195,6.704866050371147,32.046279250059754,28.309935647204053,67.20650384242641,64.42559943282563,,,0,0
N002,1979-05-16,0,5,61.1097,58.33696,0.7488054973962528,0.7341064046813764,0,0.0,0.0,-2,36.46685984764621,29.34833683376225,55.83494347126461,45.9433199660195,63.38943849990098,53.57218033114056,89.23210432923096,79.11170531194117,14.757720549456474,41.68029920171124,,66.3506321180069,62.75516551590833,114.56345031474554,110.17404246978765,,,0,0
N003,1979-07-14,0,5,41.459,37.635020000000004,0.6217855800719386,0.5830568529553873,0,0.0,0.0,0,24.39426855432661,18.80813747677842,34.642218746751645,32.071790782041425,51.71919921796304,46.11751977882782,85.01132712614387,77.22831078768245,13.150343470142536,31.145027094399687,17.25013806437172,59.647644309199706,56.33952444082276,115.41043419348516,112.19433127537786,,,0,0
F004,1979-09-07,1,5,296.572,188.09972,0.9788479089493746,0.8909862028238578,3,0.07884790894937455,0.22183389703119116,1,90.07757063177216,46.92989020283485,95.56932120331528,52.478011941180895,101.6120984048846,66.3717051422864,206.53427906796347,182.35246620359874,46.37372388359125,95.56932120331528,51.86547445513438,137.00040584179118,110.40260210261025,221.03009839450868,191.16372763335568,,,3,1
N004,1979-09-17,0,5,569.57,347.23130000000003,0.9964567563214688,0.9482901164975572,4,0.09645675632146877,0.32994040908358824,2,143.65580349505478,79.98848407895431,180.00447330852748,92.61533100343256,184.70688419583664,105.38086565847729,298.2438345700509,209.60388704094302,52.727215803194525,180.00447330852748,133.32987894022926,214.54185935091937,151.64409758244338,316.01981249834796,247.45962153181853,,,4,0
N005,1979-10-22,0,5,51.7977,24.845218,0.6977505771192355,0.2960970634025876,0,0.0,0.0,2,26.110801926280025,10.729724917881319,26.440329308263976,10.955925062583969,26.71770246458792,11.966401875656445,36.28414534970947,20.164019817482984,25.69919351076675,26.440329308263976,26.257390910669027,35.78402397288755,20.991506989643664,88.71371412382683,76.43395543607643,,,0,0
F005,1981-06-16,1,5,617.02,265.31327999999996,0.997369409996242,0.9275997208353466,4,0.097369409996242,0.2211198797444569,2,132.0760005750777,66.18940716792444,161.78870556529563,90.0116144619866,182.47512022036537,111.88193167963227,239.09381555832204,160.60576378541913,69.0533022156758,161.78870556529563,92.73540334961982,195.77422099441876,125.98717932770197,276.29788591174565,202.3851787714771,2.81,2.022,4,1
N006,1981-07-12,0,5,211.639,150.3576,0.9597090245342782,0.9218607397863317,5,0.05970902453427818,0.10930369893165814,2,49.76363716197663,36.84803624123548,67.98732063144733,61.983334120123594,102.59030043198332,83.11627746509654,146.14107816242418,140.07833331647953,27.165217106132605,67.98732063144733,40.82210352531472,132.97428016335823,121.41058282987441,257.19804568935996,246.32080123148506,1.51,1.474,5,0
N007,1984-04-02,0,5,7.43965,7.3642780000000005,0.04198206903956622,0.039168948300853594,0,0.0,0.0,0,4.524406194095011,3.373163262936619,7.4749233590980975,4.668675431388896,8.770084280554464,5.518253100565775,20.413462786466745,17.540742643370095,4.048278810317337,7.4749233590980975,2.9505171650030864,14.755672315095286,13.502763503133954,37.51749090389609,36.391227226908185,3.29,2.808,0,0
N008,1985-03-11,0,5,35.9793,30.44284,0.5690127234659366,0.5018521501046868,0,0.0,0.0,-2,9.515348971531637,7.603706465804043,29.712565837647514,19.076477518810442,35.5773737292156,29.597218954634464,84.42819527910764,63.554069725601565,4.891825355879101,12.687572204027324,,44.48431546978491,40.88520396032075,81.59815047241811,78.22089909761404,2.02,1.862,0,0
N009,1986-06-29,0,5,155.454,109.40529999999998,0.9308530627583615,0.8685886079347185,2,0.030853062758361527,0.03647393568475865,-2,54.1525189963551,27.892128505108257,71.14861334704915,56.26850672967015,83.84119245143589,78.89091925917909,118.51297377711344,116.18224960003215,14.614889729319,32.59635562802866,,104.0602059761026,93.1396265301625,186.49331650627676,177.09951032549787,2.25,1.768,2,0
F006,1988-09-03,1,5,613.009,388.5602,0.9972620389756804,0.9684758683631287,4,0.09726203897568042,0.3428786170612551,2,170.65594078757596,107.13350619128532,214.14945624312685,133.34002489914147,240.33043036781712,145.77406347475124,261.6851054919015,185.8294443289265,86.52940394856383,214.14945624312685,151.59672720399342,233.9855752225725,163.70990157219182,332.18163485798914,254.46301132131111,4.72,2.724,4,1
N010,1988-12-31,0,5,12.5011,10.709002,0.18800665700327482,0.13886830944328127,0,0.0,0.0,-2,5.906634914469459,2.985085356251745,7.998336751825763,5.91614236200963,8.482191567389009,8.042319366583985,32.946554108026895,19.914545865629588,2.060653287436809,2.7523450375533063,,21.650196121017245,18.295738757360805,55.49375071309436,50.78354023520659,1.66,1.3439999999999999,0,0
F007,1990-08-07,1,5,554.432,260.03508,0.9959735867289419,0.8468030278627798,3,0.09597358672894185,0.2623127717828958,1,137.12544874567232,75.89112632636383,149.10793452377152,86.33473318938893,157.6311435845195,96.42279031132648,190.50708332839665,128.0659055108526,64.30876795822405,149.10793452377152,77.36798423817632,167.2388269245963,110.61915546589698,241.1706954924451,184.6473612326633,6.54,3.1879999999999997,3,1
N011,1993-09-18,0,5,640.697,201.89066,0.9979062650990498,0.8762119503945887,1,0.09790626509904976,0.09790626509904976,2,115.29632341066429,38.1790091430439,129.12788990714142,49.65044937437615,138.6129607741257,90.29838893488879,266.15256881190066,181.91423313646567,104.65095563497069,129.12788990714142,24.476934272170748,189.76846507127297,119.45780671518301,274.22309114100744,202.27188493920136,5.0,2.852,1,0
F008,1993-10-03,1,5,275.201,228.868,0.9754120362914049,0.9635260643152413,5,0.07541203629140492,0.3176303215762064,-2,63.802909592235864,41.59948437884637,105.73523534294152,82.03589022191105,132.89587980978064,117.4130782076085,329.35552532742713,283.7004043330542,23.168265328711236,50.83362461538665,,184.97224792303808,170.2023725595413,315.5646400258969,305.0622317960458,2.32,1.9180000000000004,5,1
N012,1995-04-29,0,5,14.8501,13.669479999999998,0.24550383851398508,0.21700220110592153,0,0.0,0.0,0,11.817620011064244,8.869912535709007,19.48268486348299,16.520967728708346,25.602775907553543,22.101286595345357,41.489076561849345,39.82982463211768,4.964224167453515,12.600799119811875,9.459128830976397,30.85194699545097,28.46323926146212,62.065175015819634,59.628125422887265,2.92,2.338,0,0
N013,1996-10-29,0,5,24.7643,20.68242,0.4265850646910399,0.359070166961937,0,0.0,0.0,-2,7.1957573987157275,5.415752346501126,10.081556334188246,8.939548905394421,31.498330321252883,19.197367127669644,39.157872976824684,36.47484155585998,4.496934805848206,9.417862848851787,,37.12127136293228,34.02762310187014,105.97900015497729,100.51215670784325,2.09,1.536,0,0
N014,1997-02-13,0,5,22.1517,20.07876,0.3858914478982123,0.3499221560100929,0,0.0,0.0,-2,10.549899019605633,8.451964288768497,22.564518706168037,17.41571500361192,35.35807745721266,26.405094977525287,49.47608037407023,45.87976156406315,6.272291060921061,16.845399826254564,,34.33422925321182,31.68375360320066,61.10531379264865,58.94848441508621,3.26,2.622,0,0
N015,1997-05-18,0,5,79.4876,62.26278,0.8165566113705911,0.7454662586567886,0,0.0,0.0,-1,26.350286371003847,18.921973839221735,36.83348226665571,31.511137498931618,51.89059688951483,44.07044645656748,128.52039511033823,108.46489399477778,14.383635330674482,31.44410177714969,8.383571820089527,74.92660259682103,67.7732598570953,139.61559566757802,132.82191879813678,2.17,1.5699999999999998,0,0
N016,1997-09-18,0,5,45.1323,39.59922,0.6527084339936651,0.6032211306168465,0,0.0,0.0,-2,21.742468236317965,14.634584092166609,33.928811470493606,27.866293733267774,44.46966663344684,42.2884312829158,102.63485973378624,88.00777781838345,6.644322023725446,19.31701547007983,,62.75587166768903,59.269399904788294,114.14794647339832,111.5862908848131,1.7,1.5820000000000003,0,0
N017,1997-09-24,0,5,112.181,66.66962,0.8856498631019488,0.7085306275836152,0,0.0,0.0,1,42.01065494666576,26.46973644528621,52.94575375792779,34.809503079706964,58.64656861771421,43.44576712218951,103.11623525116104,86.83156538450518,22.448607732003584,45.70310585801639,22.874511306330987,79.69696610931035,64.1870079672527,133.47780736251238,117.95316721781091,3.33,1.85,0,0
F009,1998-10-11,1,5,501.637,323.3366,0.994255650399957,0.9788264347452621,5,0.09425565039995698,0.39413217372631115,-2,154.46531110664665,73.48515437621685,166.19380500037238,139.28581619477703,201.94505568341285,183.26389984096437,247.3196947676357,239.79585819527705,20.77003178128301,68.2497763580492,,208.59874365818956,188.73852497696504,330.68062898737213,317.84697827221464,3.2,1.89,5,1
F010,1998-10-19,1,5,314.128,212.17439999999996,0.9811563858914479,0.9528426477693671,5,0.08115638589144791,0.2642132388468351,1,62.673942028090394,37.65808462250911,75.97126378209082,56.55171637406411,96.73606368936264,81.49024124225423,298.68111937277547,263.6568852330886,38.24208962738507,75.97126378209082,32.20989358390862,165.66939930990378,149.32847996100776,307.0088833299866,290.90553169797204,2.92,2.068,5,1
F011,1999-07-12,1,5,187.951,125.9759,0.9504482740108444,0.8801524668491973,3,0.050448274010844396,0.09486766521715784,1,54.15395230867692,31.124535602826768,59.172731478839296,39.1065584390091,88.36483707797822,64.75920398736307,202.97596431535007,180.8366545337747,29.70106827329758,58.43127244209308,35.71180360834469,121.92982593703948,106.19704650999624,191.69489370453869,174.3806711579723,2.82,2.0200000000000005,3,1
F012,1999-09-29,1,5,683.841,356.78819999999996,0.9984968057121383,0.7830783271594995,3,0.09849680571213826,0.28631019487840226,2,198.01877662630704,90.04301138183453,208.24145298053827,95.37739761976817,210.63152534206688,99.68441312178587,226.56134919498177,134.2941168251494,77.37734170446022,208.24145298053827,150.31255749198266,213.0073304655408,120.42137033276359,293.84983772542773,196.78693215649184,4.68,2.886,3,1
F013,1999-10-05,1,5,881.498,555.1283999999999,0.9993557738766307,0.9875127503086917,5,0.09935577387663064,0.4375637515434583,1,203.5548592873565,109.26299643275368,224.41783583928915,181.47179514058107,297.7550066769727,266.2082975045465,446.1539745354991,326.11968830416527,90.25889267432824,224.41783583928915,77.64492014175394,317.3625260468758,239.23256623865683,434.3930900331531,342.77259938833504,4.49,3.592,5,1
N018,2000-04-29,0,5,13.8796,11.28788,0.22193589950072476,0.15227358136039082,0,0.0,0.0,1,17.694786543724994,12.553795514854862,21.730634869750283,16.62136872804755,23.34355616079902,17.526741624254246,26.42999330590098,21.87536039072237,6.907864796862857,21.173888315933507,17.694786543724994,29.995838902114876,26.802937464303312,57.51618493139774,54.47908566590172,2.5,2.1719999999999997,0,0
N019,2000-12-18,0,5,55.8225,40.14872,0.7208353465399688,0.5770118644977721,0,0.0,0.0,-1,23.163003401981467,14.838361231052613,26.39458207366058,21.498701911218987,29.240861091852576,23.812143527164626,56.31808851538054,44.781444122879975,19.521183029118063,22.956054170134486,0.2032924693373083,43.672930896818805,36.637450941142234,81.24526328300564,74.54144159827344,4.12,2.396,0,0
F014,2001-05-22,1,5,144.913,77.46369999999999,0.9216191549900682,0.6510871315831858,1,0.021619154990068168,0.021619154990068168,0,51.29377792032142,29.905790978547316,53.633912072526115,30.931056304453648,54.305500618316074,32.17135074475646,76.02617193866027,67.53504658112413,40.49322474468007,53.633912072526115,2.340134152204696,72.05520973923947,55.196364344227575,119.95735125964292,103.07639783814905,2.88,2.226,1,1
N020,2001-08-23,0,5,97.2411,50.98886,0.8602566167391421,0.5836044451602513,0,0.0,0.0,2,50.47721010944197,22.47237062512368,54.416230137069135,25.082397768681155,56.04332799383159,29.425505659321185,80.28373609560975,64.09978712300045,26.968790890169288,54.416230137069135,41.25662844965555,72.4165009000192,51.22885112857491,129.27661100935242,108.77114219346659,2.12,1.7399999999999998,0,0
N021,2002-08-13,0,5,13.306,12.03116,0.20846083642025018,0.17486444408654106,0,0.0,0.0,-2,12.286013655698362,6.8936702920535184,15.454939678156329,7.752585683632608,15.489221374126256,8.7748020149529,34.39543615143794,32.80693110720079,4.4604914111625265,15.454939678156327,,29.962290759200037,27.666977648488817,85.87117558748918,84.39962399789677,1.74,1.566,0,0
N022,2003-01-30,0,5,31.2924,23.732080000000003,0.5150051001234767,0.404702850700596,0,0.0,0.0,-2,16.88924127107674,9.062051891918713,23.15550383236275,17.238252557366106,32.59263455802093,27.207404870753386,43.85776169242189,41.161917869371834,2.6073071915154777,7.559283816392322,,35.66290648854827,31.734975366947886,63.663191739768706,60.21657414356391,1.88,1.518,0,0
F015,2003-04-08,1,5,79.099,38.024080000000005,0.8149460460621678,0.4102968808718527,0,0.0,0.0,1,46.88663957166633,24.307017814270402,50.35687365710211,26.192392561689086,50.73862782422364,26.74153897507198,57.64690440915713,36.83673926947506,27.700222528668096,48.44157953267803,20.734685302822108,55.86872727330332,33.59839571663482,77.20408353078116,55.14143443047298,4.48,2.588,0,1
F016,2003-09-28,1,5,908.666,409.13072,0.9994631448971922,0.9054383421914425,3,0.09946314489719221,0.2854512267139099,1,190.70088111044015,97.21114520935741,209.99504669588617,109.27668639489279,216.4727235906607,121.9519629084277,286.11001980272124,199.99659146686298,109.56325705584038,209.99504669588615,77.91586068544729,227.5202270198464,147.7325969880697,304.4754611099256,216.26463638457125,3.63,2.41,3,1
F017,2004-02-24,1,5,7.91426,7.110774000000001,0.05701401191818328,0.02893649004133784,0,0.0,0.0,-2,5.698036683972312,1.5090925809528961,5.840359685695501,1.5910514903280109,5.86585626338303,2.780742827372083,24.796663311959975,24.122633427350586,4.376243424579489,5.840359685695501,,15.842631771182353,14.195269912532208,37.570087059018434,35.48134272972903,2.84,2.2939999999999996,0,1
